N, N log N, Time
500000,2.84949e+06,0.176163
1000000,6e+06,0.371158
1500000,9.26414e+06,0.568331
2000000,1.26021e+07,0.777762
2500000,1.59949e+07,0.983894
3000000,1.94314e+07,1.20113
3500000,2.29042e+07,1.40962
4000000,2.64082e+07,1.62641
4500000,2.99395e+07,1.83273
5000000,3.34949e+07,2.05513
5500000,3.7072e+07,2.27384
6000000,4.06689e+07,2.49735
6500000,4.42839e+07,2.73469
7000000,4.79157e+07,2.93567
7500000,5.1563e+07,3.1742
8000000,5.52247e+07,3.4157
8500000,5.89001e+07,3.77583
9000000,6.25882e+07,3.9076
9500000,6.62884e+07,4.41655
10000000,7e+07,4.32641
10500000,7.37225e+07,4.90106
11000000,7.74553e+07,4.79316
11500000,8.1198e+07,5.10139
12000000,8.49502e+07,5.53176
12500000,8.87114e+07,5.53163
13000000,9.24813e+07,5.82999
13500000,9.62595e+07,6.18484
14000000,1.00046e+08,6.54643
14500000,1.0384e+08,7.13428
15000000,1.07641e+08,7.3101
15500000,1.1145e+08,7.71389
16000000,1.15266e+08,7.61991
16500000,1.19088e+08,7.97072
17000000,1.22918e+08,7.97435
17500000,1.26753e+08,8.03622
18000000,1.30595e+08,8.76586
18500000,1.34443e+08,8.96727
19000000,1.38296e+08,9.44825
19500000,1.42156e+08,9.28886
20000000,1.46021e+08,9.55463
20500000,1.49891e+08,10.1655
